Sample,Nr,Length,Height
Femur,1,58.42,102.87
Femur,2,50.8,101.6
Femur,3,53.34,100.33
Femur,4,50.8,101.6
Femur,5,50.8,99.06
Femur,6,53.34,101.6
Femur,7,55.88,109.22
Femur,8,53.34,104.14
Femur,9,50.8,105.41
Femur,10,55.88,111.76
Femur,11,58.42,114.3
Femur,12,49.53,101.6
Femur,13,63.5,119.38
Femur,14,60.96,114.3
Femur,15,68.58,130.81
Femur,16,58.42,127
Femur,17,62.23,120.65
Femur,18,63.5,123.19
Femur,19,66.04,129.54
Femur,20,53.34,106.68
Femur,21,63.5,129.54
Femur,22,63.5,127
Femur,23,59.69,119.38
Femur,24,63.5,119.38
Femur,25,63.5,129.54
Femur,26,62.23,121.92
Femur,27,66.04,129.54
Femur,28,66.04,127
Femur,29,64.77,121.92
Femur,30,76.2,132.08
Femur,31,63.5,127
Femur,32,60.96,124.46
Femur,33,71.12,130.81
Femur,34,72.39,121.92
Femur,35,66.04,137.16
Femur,36,83.82,142.24
Femur,37,68.58,142.24
Femur,38,81.28,147.32
Femur,39,83.82,152.4
Femur,40,78.74,154.94
Femur,41,78.74,149.86
Femur,42,71.12,149.86
Femur,43,77.47,147.32
Femur,44,71.12,139.7
Femur,45,73.66,147.32
Femur,46,83.82,162.56
Femur,47,73.66,151.13
Femur,48,78.74,162.56
Femur,49,83.82,162.56
Femur,50,93.98,177.8
